,Company,# Laid Off,% Laid Off,Date Added,Ticker,$ Change 5D,% Change 5D,$ Change 1Y,% Change 1Y
233,GoPro,139.0,15%,8/20/2024,GPRO,-0.03,-2.27,-0.09,-6.82
234,Bird,138.0,23%,6/7/2022,BIRD,-18.0,-16.64,-81.2,-75.05
235,Upwork,137.0,15%,5/3/2023,UPWK,-0.1,-1.23,4.85,59.58
236,Edgio,134.0,12%,6/9/2023,EGIOQ,-2.43,-11.76,-12.13,-58.66
237,Nikola,130.0,15%,10/16/2024,NKLAQ,-0.12,-2.88,-4.14,-99.64
238,CarGurus,130.0,13%,4/16/2020,CARG,-0.28,-1.47,6.19,32.43
239,Guardant Health,130.0,7%,1/25/2023,GH,-0.76,-2.4,-9.01,-28.49
240,Quanterix,130.0,25%,11/16/2022,QTRX,0.1,0.85,10.09,85.44
241,GitLab,130.0,7%,2/9/2023,GTLB,4.95,11.71,35.29,83.43
242,Latch,130.0,28%,5/21/2022,LTCH,0.01,0.46,-1.17,-53.42
243,Sonos,130.0,7%,6/14/2023,SONO,0.32,2.04,0.03,0.19
244,Bark,126.0,12%,2/9/2023,BARK,-0.57,-29.08,-0.89,-45.41
245,TripAdvisor,125.0,4%,12/22/2023,TRIP,0.03,0.14,-7.53,-35.32
246,Five9,123.0,4%,4/16/2025,FIVN,-1.03,-4.55,-1.02,-4.51
247,BioMarin,120.0,4%,11/19/2022,BMRN,9.48,10.73,-0.78,-0.88
248,F5,120.0,2%,11/6/2023,FFIV,4.52,2.93,78.39,50.73
249,Vroom,120.0,11%,4/27/2023,VRME,0.08,4.6,-0.07,-4.02
250,Planet,117.0,10%,8/1/2023,PL,-0.39,-10.34,-1.23,-32.63
251,Sprinklr,116.0,3%,5/3/2024,CXM,0.81,6.79,-4.17,-34.95
252,Latch,115.0,37%,8/4/2022,LTCH,0.09,8.74,-0.16,-15.53
253,Freshworks,114.0,2%,3/16/2023,FRSH,-0.06,-0.43,3.76,26.84
254,Varonis,110.0,5%,11/6/2022,VRNS,4.2,25.32,17.38,104.76
255,Inspirato,109.0,12%,1/19/2023,ISPO,0.6,2.29,-22.3,-85.11
256,F5,106.0,2%,8/18/2025,FFIV,0.97,0.31,24.38,7.71
257,Sonder,106.0,17%,2/20/2024,SOND,2.45,80.59,-0.33,-10.86
258,iRobot,105.0,16%,11/7/2024,IRBT,-0.02,-0.29,-2.98,-43.06
259,TrueCar,102.0,24%,6/14/2023,TRUE,-0.31,-12.35,0.44,17.81
260,F5,100.0,2%,10/29/2024,FFIV,-9.13,-3.8,100.31,41.74
261,nCino,100.0,7%,1/18/2023,NCNO,-1.53,-5.45,4.28,15.24
262,Taboola,100.0,6%,9/13/2022,TBLA,-0.21,-8.64,1.27,52.26
263,F5,100.0,1%,11/16/2022,FFIV,4.51,3.04,12.77,8.61
264,Doximity,100.0,10%,8/8/2023,DOCS,-9.58,-29.22,-7.29,-22.23
265,Pagaya,100.0,20%,6/5/2024,PGY,0.29,2.46,4.94,41.83
266,10X Genomics,100.0,8%,8/4/2022,TXG,2.38,5.59,13.48,31.67
