,Company,# Laid Off,% Laid Off,Date Added,Ticker,$ Change 5D,% Change 5D,$ Change 1Y,% Change 1Y
124,GoDaddy,451.0,6%,6/24/2020,GDDY,-3.0,-3.97,10.43,13.8
125,Compass,450.0,10%,6/14/2022,COMP,-0.46,-10.8,-1.02,-23.94
126,Informatica,450.0,7%,1/10/2023,INFA,0.9,5.79,12.86,82.7
127,Chegg,441.0,23%,6/18/2024,CHGG,0.33,12.22,-1.26,-46.67
128,DocuSign,440.0,6%,2/6/2024,DOCU,-0.6,-1.15,44.72,85.72
129,UIPath,420.0,10%,7/9/2024,PATH,0.54,4.53,1.4,11.74
130,Peloton,400.0,15%,5/2/2024,PTON,0.96,30.67,3.69,117.89
131,Ginkgo Bioworks,400.0,35%,6/23/2024,DNA,-1.28,-8.74,-6.11,-41.73
132,Okta,400.0,7%,2/1/2024,OKTA,-3.04,-3.58,9.32,10.98
133,SWVL,400.0,32%,5/30/2022,SWVL,-2.5,-1.94,-127.58,-99.09
134,Wex,375.0,5%,6/23/2024,WEX,0.86,0.49,-34.72,-19.7
135,Wix,370.0,6%,2/15/2023,WIX,-10.15,-11.15,37.4,41.09
136,Upstart,365.0,20%,1/31/2023,UPST,2.36,12.63,13.08,70.02
137,Roku,360.0,10%,9/6/2023,ROKU,-1.94,-2.25,-19.49,-22.61
138,iRobot,350.0,31%,1/29/2024,IRBT,-2.49,-16.06,-7.51,-48.45
139,MakeMyTrip,350.0,10%,6/3/2020,MMYT,1.47,8.53,11.05,64.1
140,Bumble,350.0,30%,2/27/2024,BMBL,-1.9,-14.42,-7.9,-59.94
141,Enphase Energy,350.0,10%,12/19/2023,ENPH,-1.33,-0.98,-66.52,-49.16
142,MakeMyTrip,350.0,10%,9/2/2020,MMYT,0.73,4.5,10.28,63.3
143,Robinhood,340.0,9%,4/26/2022,HOOD,0.48,4.8,-1.18,-11.8
144,Blend,340.0,28%,1/10/2023,BLND,-0.16,-9.41,0.83,48.82
145,Stitch Fix,330.0,15%,6/9/2022,SFIX,-1.56,-20.05,-3.3,-42.42
146,Match Group,325.0,13%,5/9/2025,MTCH,2.22,8.2,5.25,19.52
147,Marvell,320.0,4%,3/21/2023,MRVL,0.08,0.19,24.46,60.09
148,Chegg,319.0,21%,11/13/2024,CHGG,0.15,9.49,-0.37,-23.42
149,Dropbox,315.0,15%,1/13/2021,DBX,-0.35,-1.58,1.96,8.86
150,Fate Therapeutics,315.0,57%,1/12/2023,FATE,-0.14,-2.39,-1.31,-22.35
151,Microsoft,305.0,3%,6/5/2025,MSFT,3.23,0.69,47.14,10.1
152,Zip,300.0,20%,7/4/2023,ZIP,0.31,1.74,-8.82,-49.49
153,Zillow,300.0,5%,10/26/2022,Z,0.19,0.62,7.38,24.06
154,Playtika,300.0,10%,1/11/2024,PLTK,-0.18,-2.54,-0.63,-9.15
155,Teladoc Health,300.0,6%,1/18/2023,TDOC,1.3,4.93,-6.51,-24.7
156,AppLovin,300.0,12%,6/27/2022,APP,-3.36,-8.76,-12.3,-32.08
157,Netflix,300.0,3%,6/23/2022,NFLX,-2.11,-1.16,242.31,133.35
158,Okta,300.0,5%,2/2/2023,OKTA,-4.05,-4.98,1.51,1.86
159,Opendoor,300.0,17%,11/7/2024,OPEN,-0.1,-5.35,5.4,288.77
160,Viasat,300.0,4%,4/25/2023,VSAT,3.44,10.33,-17.18,-51.59
161,Akamai,290.0,3%,5/10/2023,AKAM,0.38,0.44,16.92,19.78
